,SingleCode,Average Morning Tap In,Average Morning Tap Out,Average Evening Tap In,Average Evening Tap Out,Morning_OutIn_Ratio,Evening_OutIn_Ratio,geometry,Name,RAIL_TYPE,NAME,stn_code,mrt_station_english,mrt_station_chinese,mrt_line_english,mrt_line_chinese,Total_Morning_Taps,Total_Evening_Taps,Total_Day_Taps
0,SW8,12235,8777,10663,14014,0.7173682059664895,1.3142642783456813,"POLYGON Z ((103.89067162829 1.38660781971472 0, 103.890149404515 1.38675687604613 0, 103.890185982374 1.38688715960718 0, 103.890708030056 1.38673824525611 0, 103.89067162829 1.38660781971472 0))",kml_9,LRT,RENJONG,SW8,RENJONG,仁宗,Sengkang LRT,盛港轻轨线,21012,24677,45689
1,EW3,119751,57897,90716,162002,0.48347821730089935,1.7858150712112526,"POLYGON Z ((103.953921407576 1.34269851288397 0, 103.953719873283 1.34252842314805 0, 103.953270560822 1.34308023310254 0, 103.953029548581 1.34337620666471 0, 103.953029559364 1.3433762157078 0, 103.952793549945 1.34366607551383 0, 103.952839288415 1.34370373182184 0, 103.952848196185 1.34371106576323 0, 103.952960668797 1.34380366332608 0, 103.952968067826 1.3438097655996 0, 103.953035359099 1.34386516805068 0, 103.953959555652 1.3427307126248 0, 103.953921407576 1.34269851288397 0))",kml_36,MRT,SIMEI,EW3,SIMEI,四美,East-West Line,东西线,177648,252718,430366
2,EW27,273757,219274,297176,480376,0.8009804315506087,1.616469701456376,"POLYGON Z ((103.70543973147 1.33811464333447 0, 103.705292787832 1.33851333276347 0, 103.705963772062 1.33876333456084 0, 103.705943300076 1.33881883329887 0, 103.706261942828 1.3389378034221 0, 103.706315910907 1.33895795542805 0, 103.706337861329 1.33896615099902 0, 103.706651169492 1.33908314295641 0, 103.706703293055 1.33894154061802 0, 103.706712243511 1.33892534395447 0, 103.706726989401 1.3389141668028 0, 103.706886621493 1.33884623035312 0, 103.70681864716 1.33869454717903 0, 103.706816624472 1.33869526242459 0, 103.706635610996 1.33862775322634 0, 103.706164247123 1.33845181845288 0, 103.706186040153 1.33839293656165 0, 103.70543973147 1.33811464333447 0))",kml_180,MRT,BOON LAY,EW27,BOON LAY,文礼,East-West Line,东西线,493031,777552,1270583
3,EW27,273757,219274,297176,480376,0.8009804315506087,1.616469701456376,"POLYGON Z ((103.704185596061 1.33877608471245 0, 103.704185646379 1.33877610280236 0, 103.704207679471 1.3387840325136 0, 103.704260137119 1.33880291204548 0, 103.704415949229 1.3388604060789 0, 103.704440203504 1.33886932256488 0, 103.704441831663 1.33886980648479 0, 103.70444340053 1.3388700697372 0, 103.704445472598 1.33887013043908 0, 103.704447316448 1.33886991258532 0, 103.7044491675 1.33886942342329 0, 103.704450686992 1.33886879678066 0, 103.704452582107 1.33886767637612 0, 103.70445382666 1.33886667893042 0, 103.704455031689 1.33886544363536 0, 103.704456204388 1.33886385473298 0, 103.7044572594 1.33886182087816 0, 103.704463378577 1.33884448819554 0, 103.704528822969 1.33865865064576 0, 103.704537003742 1.33863541891702 0, 103.70459635231 1.33846687335201 0, 103.704606913711 1.33843687983225 0, 103.704607297816 1.33843558861919 0, 103.704607552717 1.33843426541707 0, 103.704607675893 1.33843292328776 0, 103.70460836324 1.33841661857748 0, 103.704609897296 1.33841240613924 0, 103.704624469475 1.33837241329803 0, 103.704736590313 1.33806461591278 0, 103.704920748828 1.33755800279607 0, 103.70489871955 1.33752870029933 0, 103.704945157587 1.33739510854467 0, 103.704742014043 1.33732156505381 0, 103.704737834936 1.33732006359218 0, 103.704736555406 1.33731979402478 0, 103.704735399868 1.33731969810146 0, 103.704734387194 1.3373197260833 0, 103.704733399674 1.33731985445068 0, 103.704732096751 1.33732018356983 0, 103.704730952865 1.33732063749937 0, 103.704729832333 1.33732125692842 0, 103.704728884321 1.33732194509811 0, 103.704728107033 1.33732265498148 0, 103.704727405219 1.33732344807016 0, 103.704726830102 1.33732424930479 0, 103.704726377189 1.33732502612807 0, 103.704726058167 1.33732569353059 0, 103.704720376686 1.33734123740919 0, 103.704692043039 1.33741747184298 0, 103.704630006114 1.33758438761224 0, 103.704616242781 1.33758721030475 0, 103.704615385553 1.33758731787861 0, 103.704614840122 1.33758745983469 0, 103.704614259643 1.33758767685099 0, 103.704613360162 1.33758817601146 0, 103.704612618822 1.33758878099066 0, 103.704611970924 1.3375895270553 0, 103.704611547669 1.33759020801773 0, 103.704611236732 1.33759091069078 0, 103.704456010473 1.33801710489645 0, 103.704412692051 1.33813602352534 0, 103.704334949486 1.33834938378219 0, 103.704279678211 1.33850729425581 0, 103.704267766064 1.33854132567946 0, 103.704251805316 1.33858692639437 0, 103.704250098618 1.33859339520687 0, 103.704244009096 1.33861065825458 0, 103.704185596061 1.33877608471245 0))",kml_205,MRT,BOON LAY,EW27,BOON LAY,文礼,East-West Line,东西线,493031,777552,1270583
4,PE6,44660,21339,31473,57566,0.47781012091356917,1.829059829059829,"POLYGON Z ((103.912431667314 1.40257770982641 0, 103.912910037316 1.40223403912492 0, 103.912832422204 1.40212402238219 0, 103.91235375567 1.40246741362926 0, 103.912431667314 1.40257770982641 0))",kml_14,LRT,OASIS,PE6,OASIS,绿洲,Punggol LRT,榜鹅轻轨线,65999,89039,155038
5,NS13,381205,140279,222996,539720,0.36798835272360014,2.4203124719725913,"POLYGON Z ((103.835194625625 1.43013539739754 0, 103.835129476587 1.42882095889185 0, 103.835125981061 1.42882112168009 0, 103.835122916813 1.42876090913866 0, 103.834935137883 1.42876782766141 0, 103.834946038023 1.42906725347409 0, 103.834741068986 1.42907513966228 0, 103.8347854782 1.43027261681704 0, 103.83508036958 1.43026234303724 0, 103.835194625625 1.43013539739754 0))",kml_67,MRT,YISHUN,NS13,YISHUN,义顺,North-South Line ,南北线,521484,762716,1284200
6,BP11,38314,6363,11483,35172,0.16607506394529414,3.062962640424976,"POLYGON Z ((103.769929986182 1.38755901207757 0, 103.769760727547 1.38766290350928 0, 103.769731928552 1.38761500039959 0, 103.769651020307 1.38766427879002 0, 103.769626203917 1.38767932672774 0, 103.769445082081 1.38778968310932 0, 103.769418579926 1.38780596726391 0, 103.769447203698 1.38785373019604 0, 103.769369278764 1.38790113662449 0, 103.769498448112 1.38793975193944 0, 103.769816237601 1.38774557017265 0, 103.769894180158 1.38767700252541 0, 103.76997317529 1.38762920723115 0, 103.769929986182 1.38755901207757 0))",kml_194,LRT,SEGAR,BP11,SEGAR,实加,Bukit Panjang LRT,武吉班让轻轨线,44677,46655,91332
7,TE23,17654,5232,10805,22625,0.29636343038404894,2.093937991670523,"POLYGON Z ((103.873580805142 1.29798973574794 0, 103.873547968949 1.29777493973453 0, 103.873520712582 1.29777918073606 0, 103.873509798638 1.29770778856064 0, 103.873388590742 1.29772655786916 0, 103.873381058371 1.29767731352814 0, 103.873389320043 1.2974779380816 0, 103.873730185594 1.29749224600602 0, 103.873727901471 1.29754735440367 0, 103.873803239936 1.29755050399821 0, 103.873937319851 1.29755610889667 0, 103.873937729429 1.29754621423705 0, 103.873943165624 1.29754644295348 0, 103.873945037469 1.29750126358131 0, 103.873946832761 1.29750133951894 0, 103.873954946185 1.29730553812295 0, 103.873963666559 1.29730590424971 0, 103.873995252193 1.29730722953762 0, 103.873996626435 1.29727406737013 0, 103.873997063858 1.29726350890642 0, 103.873997186012 1.29726055615405 0, 103.874007822083 1.29726100273813 0, 103.874068202471 1.29726353669465 0, 103.874073905124 1.29712592215523 0, 103.874009102104 1.29712320197118 0, 103.87400288867 1.2971229407103 0, 103.8740050165 1.29707157276692 0, 103.8734743407 1.29704929774955 0, 103.873475975428 1.29700984391337 0, 103.87347637423 1.29700019704982 0, 103.873492388985 1.2970008696414 0, 103.873513965591 1.29648012892372 0, 103.873514452417 1.29646839930703 0, 103.873331230282 1.29646069251814 0, 103.873330743456 1.2964724384134 0, 103.873290085232 1.29647073252341 0, 103.873191647924 1.29646660023413 0, 103.873172201794 1.29693590879798 0, 103.873167923644 1.29703916017264 0, 103.872853706284 1.29702597135473 0, 103.872845827208 1.29721612046774 0, 103.872960081621 1.29722091632406 0, 103.873093968331 1.29722653574097 0, 103.873093709648 1.2972327894263 0, 103.873091851261 1.29727763327892 0, 103.873236391117 1.29728370108451 0, 103.87322857674 1.2974722983068 0, 103.873219935116 1.2976808403988 0, 103.873281077479 1.29768340691896 0, 103.873308114747 1.29786017088026 0, 103.873338621141 1.29785544689857 0, 103.873369596264 1.29805942403111 0, 103.873389874911 1.29819296580135 0, 103.873392767625 1.29821201076922 0, 103.873406051669 1.29820995493668 0, 103.87342176627 1.2982075228496 0, 103.873451123433 1.2982029797577 0, 103.87357368186 1.29818401146372 0, 103.873609650494 1.29817842824481 0, 103.873606891678 1.29816038350234 0, 103.873580805142 1.29798973574794 0))",kml_115,MRT,TANJONG RHU,TE23,TANJONG RHU,丹戎禺,Thomson-East Coast Line,汤申-东海岸线,22886,33430,56316
8,DT6,36068,51613,60674,42971,1.4309914605744705,0.7082275768863104,"POLYGON Z ((103.783022923822 1.33565353792195 0, 103.78305613079 1.33574787554778 0, 103.783066257847 1.33577664629429 0, 103.783093836579 1.33585499554924 0, 103.783094312787 1.33585634758351 0, 103.783099309377 1.33587054168229 0, 103.783144918427 1.33600011359101 0, 103.783162322484 1.33604955734777 0, 103.783240245062 1.3360217732623 0, 103.78326072898 1.33600204226451 0, 103.783379576655 1.33595966619275 0, 103.783411176456 1.33594839846116 0, 103.783756438882 1.33582528987531 0, 103.783780380219 1.33581675316319 0, 103.784333404044 1.3356195649936 0, 103.784431912756 1.33589942066431 0, 103.784443180933 1.33593143176552 0, 103.784454166081 1.33596263888123 0, 103.784445357459 1.33596577956177 0, 103.784466631413 1.33602621774339 0, 103.784457463365 1.33602948774087 0, 103.784463233577 1.33604594728498 0, 103.784481228218 1.3360395194243 0, 103.784483931826 1.33604720205234 0, 103.7845580319 1.33602078072465 0, 103.784595222562 1.33600751987051 0, 103.784668784394 1.33598129025382 0, 103.784620795118 1.33584495729625 0, 103.784602506003 1.33579299849422 0, 103.784599732312 1.33578511780911 0, 103.784580224822 1.33572969978951 0, 103.784518256582 1.33555365320521 0, 103.784666904183 1.33550065138487 0, 103.784653386142 1.33546224819344 0, 103.784625446164 1.3353828743023 0, 103.784598330118 1.33530584001753 0, 103.784594258983 1.33529427311799 0, 103.783825655417 1.33556832975673 0, 103.783718076657 1.33560668799013 0, 103.783608407835 1.33564579227655 0, 103.783583794159 1.33557586633532 0, 103.783390525029 1.33536373201141 0, 103.783210727798 1.33542784865477 0, 103.783205923488 1.33541420170046 0, 103.783163311793 1.33542939685722 0, 103.783150395836 1.33543400161439 0, 103.783107675414 1.33544923565559 0, 103.783101672499 1.33543218374525 0, 103.783067370722 1.33544441456536 0, 103.783072772537 1.33545976083252 0, 103.782992735654 1.33548829910954 0, 103.782997837368 1.33550279074652 0, 103.782972978597 1.33551164757701 0, 103.783011156095 1.33562010695277 0, 103.783015613581 1.33563276995203 0, 103.783018823941 1.33564188872232 0, 103.783022923822 1.33565353792195 0))",kml_220,MRT,KING ALBERT PARK,DT6,KING ALBERT PARK,阿尔柏王园,Downtown Line,滨海市区线,87681,103645,191326
9,DT17,11784,307472,307888,33655,26.092328581126953,0.10930922933014603,"POLYGON Z ((103.852760627249 1.279727338137 0, 103.853322812607 1.27936317679601 0, 103.853345677771 1.27925685043596 0, 103.853202278417 1.27903258895899 0, 103.853177690792 1.27902722264913 0, 103.852970886192 1.27916118239614 0, 103.852944812117 1.2791204056879 0, 103.852414619042 1.27946384408969 0, 103.852440694011 1.27950462080331 0, 103.852352491268 1.27956175471534 0, 103.852464885272 1.27973752533139 0, 103.852371399144 1.27979808230486 0, 103.852475010065 1.27986803053608 0, 103.852526861742 1.27983444293826 0, 103.852546898472 1.27986578355273 0, 103.852741607991 1.27973965844487 0, 103.852760627249 1.279727338137 0))",kml_77,MRT,DOWNTOWN,DT17,DOWNTOWN,市中心,Downtown Line,滨海市区线 ,319256,341543,660799
