,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Theme: Economy & Prices,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Subject: Labour, Employment, Wages and Productivity",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Topic: Labour Force,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Table Title: Labour Force Aged 15 Years And Over, End June, Annual",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data last updated: 20/03/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Source: MINISTRY OF MANPOWER, SINGAPORE DEPARTMENT OF STATISTICS",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data Series,2024 ,2023 ,2022 ,2021 ,2020 ,2019 ,2018 ,2017 ,2016 ,2015 ,2014 ,2013 ,2012 ,2011 ,2010 ,2009 ,2008 ,2007 ,2006 ,2005 ,2004 ,2003 ,2002 ,2001 ,2000 ,1999 ,1998 ,1997 ,1996 ,1995 ,1994 ,1993 ,1992 ,1991 ,1990 ,1989 ,1988 ,1987 ,1986 ,1985 ,1984 ,1983 ,1982 ,1981 ,1980 ,1979 ,1978 ,1977 ,1976 ,1975 ,1974 ,1973 ,1972 ,1971 ,1970 
Total Labour Force (Thousand),4006.6,3936.3,3754.2,3607.6,3713.9,3742.5,3675.6,3657,3672.8,3610.6,3530.8,3443.7,3361.8,3237.1,3135.9,3030,2939.9,2710.3,2594.1,2367.3,2341.9,2312.3,2320.6,2330.5,2192.3,2208.7,2187.9,2116,2024.9,1749.3,1842.2,1762.7,1733.6,1673.7,1562.8,-,-,-,-,-,-,-,-,-,1112.1,-,-,-,-,-,-,-,-,-,701.7
Total Employed Persons (Thousand),3910.7,3840.3,3656.2,3483.5,3574,3631.7,3575.3,3550.1,3570,3516,3440.2,3352.9,3274.7,3149.7,3047.2,2905.9,2858.1,2631.9,2505.8,2266.7,2238.1,2208.1,2223.2,2267.3,2094.8,2129.3,2133.8,2075.8,1976.4,1702.1,1801.2,1721.1,1692.1,1645,1537,-,-,-,-,-,-,-,-,-,1073.4,-,-,-,-,-,-,-,-,-,644.2
Total Unemployed Persons (Thousand),95.9,96,98,124.1,139.9,110.8,100.2,106.9,102.8,94.6,90.7,90.7,87.1,87.4,88.8,124.1,81.8,78.4,88.3,100.5,103.8,104.2,97.4,63.2,97.5,79.4,54.1,40.2,48.5,47.2,41,41.6,41.5,-,25.8,-,-,-,-,-,-,-,-,-,38.7,-,-,-,-,-,-,-,-,-,57.5
Total Unemployment Rate (Per Cent),2.4,2.4,2.6,3.4,3.8,3,2.7,2.9,2.8,2.6,2.6,2.6,2.6,2.7,2.8,4.1,2.8,2.9,3.4,4.2,4.4,4.5,4.2,2.7,4.4,3.6,2.5,1.9,2.4,2.5,2.2,2.4,2.4,-,1.7,-,-,-,-,-,-,-,-,-,3.5,-,-,-,-,-,-,-,-,-,8.2
Resident Unemployment Rate (Per Cent),3.3,3.4,3.6,4.6,5.2,4.2,3.9,4.2,4.1,3.8,3.7,3.9,3.7,3.9,4.1,5.9,4,4,4.5,5.6,5.8,5.9,5.6,3.8,6,4.9,3.4,2.5,3.1,3.2,2.7,2.8,2.8,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Definitions and Footnotes:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Total population comprises residents and non residents.  Residents comprise Singapore citizens and permanent residents.  Data is based on mid-year Labour Force Survey except Census years 1970, 1980, 1990, 2000 and General Household Surveys 1995 & 2005.  Data exclude construction workers living at worksites and workers who commute daily from abroad to work in Singapore, except for Census years and General Household Survey 2005.  To facilitate comparison with 2008, 2007 Labour Force Survey data have been adjusted based on Singapore Department of Statistics' revised population estimates (released in February 2008) which exclude Singapore residents who have been away from Singapore for a continuous period of 12 months or longer. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Unemployment Rate (Per Cent):,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data is non-seasonally adjusted.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
