,,,,,,,,,,
Theme: Households,,,,,,,,,,
Subject: Household Income,,,,,,,,,,
Topic: Census of Population and General Household Survey,,,,,,,,,,
Table Title: Resident Households by Monthly Household Income from Work and Type of Dwelling (Census of Population 2020),,,,,,,,,,
,,,,,,,,,,
Data last updated: 18/06/2021,,,,,,,,,,
Source: SINGAPORE DEPARTMENT OF STATISTICS,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,Number,
Monthly Household Income from Work,Total,HDB Dwellings,,,,,Condominiums & Other Apartments,Landed Properties,Others,
,,Total,1- & 2- Room Flats2/,3-Room Flats,4-Room Flats,5-Room & Executive Flats,,,,
Total,1372559,1080088,88814,242388,434277,314609,220102,68425,3944,
  No Employed Person,182445,152238,33255,48087,43283,27612,19842,9883,482,
"  Below 1,000",27007,24426,6541,7447,7084,3354,1906,584,91,
"  1,000 - 1,999",70569,66358,16761,22455,19235,7907,2807,1130,273,
"  2,000 - 2,999",69341,63785,11516,21463,22061,8744,3743,1489,324,
"  3,000 - 3,999",74185,67921,7580,22532,26289,11520,4181,1461,622,
"  4,000 - 4,999",70712,64414,4808,18889,27942,12776,4630,1350,318,
"  5,000 - 5,999",73493,65787,2996,18134,29238,15419,5879,1570,256,
"  6,000 - 6,999",68660,61378,1974,14911,29377,15116,5507,1541,233,
"  7,000 - 7,999",66119,58774,1034,12921,29133,15686,5967,1224,154,
"  8,000 - 8,999",62812,54931,871,11016,27778,15265,5969,1656,256,
"  9,000 - 9,999",59781,51603,539,8715,25649,16700,6475,1579,125,
"  10,000 - 10,999",55120,46260,331,7001,22326,16602,7003,1721,136,
"  11,000 - 11,999",49210,40655,138,5933,18632,15952,7045,1442,69,
"  12,000 - 12,999",43943,35419,127,4380,16410,14502,6973,1502,50,
"  13,000 - 13,999",41042,32109,44,3856,14231,13978,7554,1342,37,
"  14,000 - 14,999",35595,26983,71,2626,11811,12475,7255,1250,107,
"  15,000 - 17,499",76886,56413,132,5138,24707,26435,17043,3370,61,
"  17,500 - 19,999",55127,36395,47,2605,14534,19208,15551,3070,111,
"  20,000 & Over",190514,74239,48,4279,24554,45357,84772,31263,240,
,,,,,,,,,,
,,,,,,,,,,
Definitions and Footnotes:,,,,,,,,,,
1/ Household income from work includes employer CPF contributions.,,,,,,,,,,
2/ Includes HDB studio apartments.,,,,,,,,,,
,,,,,,,,,,
Resident Households:,,,,,,,,,,
"Refer to households where the household reference person is a Singapore citizen or permanent resident.
A household refers to (i) a group of two or more persons living together in the same house and sharing common food or other essential arrangements for living; or (ii) a person living alone or a person living with others but having his own food or other essential arrangements for living. Although persons may be living in the same house, they may not be members of the same household.",,,,,,,,,,
,,,,,,,,,,
Notation:,,,,,,,,,,
na   not available or not applicable,,,,,,,,,,
nec  not elsewhere classified,,,,,,,,,,
nes  not elsewhere specified,,,,,,,,,,
 -     nil or negligible or not significant,,,,,,,,,,
Notes,,,,,,,,,,
Numbers may not add up to the totals due to rounding.,,,,,,,,,,
"Data are the latest available at the time of access or download. Some statistics, particularly those for the most recent time periods, are provisional and may be subject to revision at a later date.",,,,,,,,,,
Values are shown in Singapore dollars (unless otherwise specified).,,,,,,,,,,
,,,,,,,,,,
Generated by: SingStat Table Builder,,,,,,,,,,
Date generated: 20/07/2025,,,,,,,,,,
Contact: info@singstat.gov.sg,,,,,,,,,,
