Number,Total_Total,Total_Males,Total_Females,Chinese_Total,Chinese_Males,Chinese_Females,Malays_Total,Malays_Males,Malays_Females,Indians_Total,Indians_Males,Indians_Females,Others_Total,Others_Males,Others_Females,PlanningArea
Total,4044210,1977560,2066650,3006770,1461340,1545430,545500,271330,274170,362270,185570,176710,129670,59320,70350,TOTAL
Ang Mo Kio - Total,162280,77570,84700,134350,64050,70300,11140,5480,5660,12810,6350,6470,3970,1690,2280,ANG MO KIO 
Bedok - Total,276990,134210,142790,201780,96890,104880,39300,19340,19950,24450,12480,11960,11470,5490,5990,BEDOK 
Bishan - Total,87320,42260,45060,75040,36220,38820,3190,1560,1630,6490,3240,3260,2590,1240,1350,BISHAN 
Boon Lay - Total,40,-,-,-,-,-,-,-,-,-,-,-,-,-,-,BOON LAY 
Bukit Batok - Total,158030,77480,80550,113460,55320,58140,25240,12520,12730,14950,7650,7300,4380,2000,2380,BUKIT BATOK 
Bukit Merah - Total,151250,72730,78520,120830,57490,63350,11430,5850,5580,13980,7110,6870,5010,2290,2730,BUKIT MERAH 
Bukit Panjang - Total,138270,68150,70120,102800,50480,52310,21690,10910,10780,10340,5240,5100,3450,1520,1930,BUKIT PANJANG 
Bukit Timah - Total,77860,35980,41880,67400,30950,36450,640,250,390,3840,1850,1990,5980,2930,3050,BUKIT TIMAH 
Central Water Catchment - Total,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,CENTRAL WATER CATCHMENT 
Changi- Total,1850,960,890,820,410,410,620,330,300,320,180,140,90,40,50,CHANGI
Changi Bay - Total,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,CHANGI BAY
Choa Chu Kang - Total,192070,95690,96380,133520,66400,67120,35500,17790,17710,18020,9210,8810,5020,2290,2730,CHOA CHU KANG 
Clementi - Total,91990,43630,48360,73630,34630,39010,8270,4090,4180,6970,3470,3510,3120,1450,1670,CLEMENTI 
Downtown Core - Total,3190,1590,1600,2500,1200,1290,30,20,10,200,120,90,460,260,210,DOWNTOWN CORE 
Geylang - Total,110110,54260,55860,85460,41930,43520,12470,6200,6270,8640,4530,4100,3550,1590,1960,GEYLANG 
Hougang - Total,227560,111490,116070,184810,90310,94500,18760,9310,9450,18710,9600,9110,5290,2270,3020,HOUGANG 
Jurong East - Total,78600,38930,39670,55440,27300,28140,12700,6350,6350,8610,4470,4140,1850,810,1040,JURONG EAST 
Jurong West - Total,262730,131900,130840,183590,91900,91690,46520,23370,23150,26360,13860,12490,6260,2760,3500,JURONG WEST 
Kallang - Total,101290,50040,51260,77010,37540,39460,7000,3600,3400,14510,7630,6880,2780,1270,1510,KALLANG 
Lim Chu Kang - Total,110,60,50,100,50,50,-,-,-,-,-,-,-,-,-,LIM CHU KANG 
Mandai - Total,2090,990,1100,1650,780,870,110,50,70,270,140,130,60,20,30,MANDAI 
Marina East - Total,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,MARINA EAST 
Marina South - Total,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,MARINA SOUTH 
Marine Parade - Total,46220,21700,24520,35050,16200,18850,3120,1530,1590,5510,2710,2810,2530,1260,1270,MARINE PARADE 
Museum - Total,510,260,250,360,160,190,-,-,-,40,30,10,110,60,50,MUSEUM 
Newton - Total,8260,3950,4310,6110,2880,3230,60,10,50,750,370,380,1340,690,650,NEWTON 
North-Eastern Islands - Total,50,-,-,-,-,-,-,-,-,-,-,-,-,-,-,NORTH
Novena - Total,49330,23930,25400,40720,19660,21060,1730,840,890,4140,2130,2010,2740,1300,1440,NOVENA 
