,,,,,,,,,,,,,,,,,,,,,,,,
Theme: Economy & Prices,,,,,,,,,,,,,,,,,,,,,,,,
Subject: International Investment Position (IIP),,,,,,,,,,,,,,,,,,,,,,,,
"Topic: Singapore's Portfolio Investment Assets",,,,,,,,,,,,,,,,,,,,,,,,
"Table Title: Singapore's Portfolio Investment Assets By Destination Economy And Instrument, (End Of Period), Annual",,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Data last updated: 18/07/2025,,,,,,,,,,,,,,,,,,,,,,,,
Source: SINGAPORE DEPARTMENT OF STATISTICS,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,Million Dollars
Data Series,2024 ,2023 ,2022 ,2021 ,2020 ,2019 ,2018 ,2017 ,2016 ,2015 ,2014 ,2013 ,2012 ,2011 ,2010 ,2009 ,2008 ,2007 ,2006 ,2005 ,2004 ,2003 ,2002 ,2001 
"Singapore's Portfolio Investment Assets - Total (Instrument)",2689998.3,2472968.3,2317673.3,2378545.9,2211233.2,2055792,1722432.6,1708445.9,1496019.4,1368941.2,1264242.9,1154112.1,981244.5,794263.8,758254.8,652963.4,531972.3,733236,579427.4,471215.9,421090.1,376738.4,247655.6,207840.1
  Asia,903629.2,889308.5,876991.7,878834.2,911769.4,833508.3,684960.1,666995.8,552175.6,526993,510870.4,468295.3,417548.6,304190.9,291475.8,239404.3,203319.3,255453.5,183782,145689.6,109934.1,82110.3,59628.1,61486.1
    Mainland China,233545.9,232390,235223,268412.1,287273.5,206578.4,151370.4,164457.6,124203.5,133380.8,120227,90402.8,70697,56940.8,51936.5,44599.5,37707.3,26050.4,15868.6,11724.2,5643.5,5383.5,2960,2971.2
    Hong Kong,52184.5,55882.2,67708.8,69803.6,60716.1,56084.1,46104.5,48352.6,36176.6,37261.6,40452.1,46474.2,27769.3,18428.8,19134.7,15404.7,22383.3,31886.4,35955.7,27886.4,14285.4,11760.2,7631.9,8826.1
    India,137686.1,131945.6,117013,122821.4,96706.2,84904.4,76106.2,77647,58507.6,71586.2,79373,54831.5,68205.8,42090.3,37898.4,36216.1,23296.3,31905.6,11191,5194.9,5194.5,2856.8,1230.7,1146.8
    Indonesia,62251.7,65052.3,41945.8,37135.6,37186.3,42033.8,35091.6,35074.5,25673,21402,24045.4,20149.3,32341.6,20449.2,26960.9,14859.7,7643.4,16548.3,10904.9,8481.4,5150.9,3621.6,3926,1454.2
    Japan,158683.1,138625,176394.5,146497.8,208873.7,na,na,na,na,na,na,na,na,na,na,na,-,-,-,-,-,-,-,-
    Republic Of Korea,100500.5,115784.9,98440.8,102278.4,106245,79564.1,66816.8,63059.6,51741.3,50519,57311.3,51358.4,57430.1,52307.8,39653.2,43819.5,33559.4,40026,26829.3,22761,17766.4,14905.2,8898.6,6970.9
    Malaysia,35315.1,32466.6,30183.9,27672.1,24019.2,23888.7,22560.5,23490.3,26014.6,24967.2,32718.7,43471.4,34529.4,21213.6,18851.4,14005.1,17293.6,29248.9,19185.1,21599,22680.5,14598.8,12807,12679.1
    Myanmar,na,na,na,na,na,na,497.8,384,641.4,443.7,92.8,na,na,na,na,na,na,na,na,3.7,3.8,8.7,8.7,10.1
    Philippines,9554.5,9987.5,7996.7,7422.3,10581.3,na,9536.6,7930.5,9175.2,7734,9135.1,11539.2,7432.4,5912,4891.2,3404,2811.1,3501.1,2790.1,1739.8,1744.5,1897.5,2118.8,2547.4
    Taiwan,na,na,na,na,na,na,22599.2,22356.2,24729.7,21040.9,24574.8,22595.3,22552.3,16821.8,20720.1,12796.7,8183.6,9268,8544.1,7616.1,7383.3,5355.6,4014.8,2660.3
    Thailand,15384.5,14735.7,17782.1,13593.4,12765.9,13478.1,15972.5,15856.5,12454.9,10654.2,10924.3,14609.4,14754.7,9479.2,10319.9,5689.9,5128,8040.5,7978.1,8363.8,6397.9,5985,3904.5,4469.7
    Viet Nam,na,na,na,na,na,na,na,na,2350,1421.9,2230.1,723,466.2,417.2,422.1,831,1378,2046.3,421.7,102.9,19.9,11.2,38.6,46.3
  Europe,404371.1,394937.4,366266.3,405083.7,390273.9,377209.2,319339.9,319354.6,279639.2,250540,245181.3,246115.2,195118.2,147468.8,196585,192183.7,150349.5,230955.9,201572.3,155910.9,150704.4,141422.8,98675.2,73980.3
    Germany,na,na,na,na,51939.2,na,na,42631.8,36004.9,33930.1,33084,34205.3,30881.5,na,na,na,17779.3,30752.3,25941.4,20068.3,14848.5,16338.2,17029.7,12007.4
    Ireland,32962,35320.2,na,32254.2,na,na,16826.9,15018.5,11031.1,10202.8,8623.1,7833.6,2840.4,2197.7,3141.9,3789.4,4500.3,5317.8,4810.1,4005.7,3825.9,3757.6,3554.5,2825.2
    Luxembourg,42739.1,45827.1,43288.3,47807.6,44686.4,38289.1,35912.6,36321.9,32860.8,29080.6,23272.1,26298.3,21104.2,7649.6,12418.1,5014.3,2706,6019.1,10122.7,6808.6,6061.3,7676.8,5652.3,2088.6
    Netherlands,20544,19428.5,14060.7,19427.2,20738.8,19473.6,16800.6,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
    Spain,10281.7,na,na,na,na,na,na,9848.1,7961.1,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
