Station,StartTime,EndTime,CrowdLevel
EW1,2025-07-17T21:50:00+08:00,2025-07-17T22:00:00+08:00,l
EW10,2025-07-17T21:50:00+08:00,2025-07-17T22:00:00+08:00,l
EW11,2025-07-17T21:50:00+08:00,2025-07-17T22:00:00+08:00,l
EW12,2025-07-17T21:50:00+08:00,2025-07-17T22:00:00+08:00,l
EW13,2025-07-17T21:50:00+08:00,2025-07-17T22:00:00+08:00,l
EW14,2025-07-17T21:50:00+08:00,2025-07-17T22:00:00+08:00,l
EW15,2025-07-17T21:50:00+08:00,2025-07-17T22:00:00+08:00,l
EW16,2025-07-17T21:50:00+08:00,2025-07-17T22:00:00+08:00,l
EW17,2025-07-17T21:50:00+08:00,2025-07-17T22:00:00+08:00,l
EW18,2025-07-17T21:50:00+08:00,2025-07-17T22:00:00+08:00,l
EW19,2025-07-17T21:50:00+08:00,2025-07-17T22:00:00+08:00,l
EW2,2025-07-17T21:50:00+08:00,2025-07-17T22:00:00+08:00,l
EW20,2025-07-17T21:50:00+08:00,2025-07-17T22:00:00+08:00,l
EW21,2025-07-17T21:50:00+08:00,2025-07-17T22:00:00+08:00,l
EW22,2025-07-17T21:50:00+08:00,2025-07-17T22:00:00+08:00,l
EW23,2025-07-17T21:50:00+08:00,2025-07-17T22:00:00+08:00,l
EW24,2025-07-17T21:50:00+08:00,2025-07-17T22:00:00+08:00,l
EW25,2025-07-17T21:50:00+08:00,2025-07-17T22:00:00+08:00,l
EW26,2025-07-17T21:50:00+08:00,2025-07-17T22:00:00+08:00,l
EW27,2025-07-17T21:50:00+08:00,2025-07-17T22:00:00+08:00,l
EW28,2025-07-17T21:50:00+08:00,2025-07-17T22:00:00+08:00,l
EW29,2025-07-17T21:50:00+08:00,2025-07-17T22:00:00+08:00,l
EW3,2025-07-17T21:50:00+08:00,2025-07-17T22:00:00+08:00,l
EW30,2025-07-17T21:50:00+08:00,2025-07-17T22:00:00+08:00,l
EW31,2025-07-17T21:50:00+08:00,2025-07-17T22:00:00+08:00,l
EW32,2025-07-17T21:50:00+08:00,2025-07-17T22:00:00+08:00,l
EW33,2025-07-17T21:50:00+08:00,2025-07-17T22:00:00+08:00,l
EW4,2025-07-17T21:50:00+08:00,2025-07-17T22:00:00+08:00,l
EW5,2025-07-17T21:50:00+08:00,2025-07-17T22:00:00+08:00,l
EW6,2025-07-17T21:50:00+08:00,2025-07-17T22:00:00+08:00,l
EW7,2025-07-17T21:50:00+08:00,2025-07-17T22:00:00+08:00,l
EW8,2025-07-17T21:50:00+08:00,2025-07-17T22:00:00+08:00,l
EW9,2025-07-17T21:50:00+08:00,2025-07-17T22:00:00+08:00,l
