YEAR_MONTH,DAY_TYPE,TIME_PER_HOUR,PT_TYPE,PT_CODE,TOTAL_TAP_IN_VOLUME,TOTAL_TAP_OUT_VOLUME
2025-04,WEEKDAY,11,TRAIN,SW8,2595,1079
2025-04,WEEKENDS/HOLIDAY,6,TRAIN,EW3,2674,1314
2025-04,WEEKENDS/HOLIDAY,0,TRAIN,EW27,144,2904
2025-04,WEEKDAY,5,TRAIN,PE6,2229,311
2025-04,WEEKENDS/HOLIDAY,5,TRAIN,NS13,5322,858
2025-04,WEEKDAY,8,TRAIN,BP11,11513,1904
2025-04,WEEKDAY,13,TRAIN,TE23,2001,2342
2025-04,WEEKDAY,19,TRAIN,DT6,9475,10908
2025-04,WEEKENDS/HOLIDAY,23,TRAIN,DT17,1171,455
2025-04,WEEKDAY,18,TRAIN,EW12/DT14,156039,115159
2025-04,WEEKENDS/HOLIDAY,17,TRAIN,DT31,3831,4532
2025-04,WEEKENDS/HOLIDAY,16,TRAIN,TE7,3314,2403
2025-04,WEEKDAY,12,TRAIN,TE26,10958,11321
2025-04,WEEKDAY,21,TRAIN,EW1,14074,40301
2025-04,WEEKENDS/HOLIDAY,16,TRAIN,PE3,2822,3057
2025-04,WEEKDAY,6,TRAIN,CC26,2540,13392
2025-04,WEEKENDS/HOLIDAY,9,TRAIN,NS23,4352,16328
2025-04,WEEKDAY,11,TRAIN,NS28,1143,1854
2025-04,WEEKENDS/HOLIDAY,11,TRAIN,NS12,10546,5427
2025-04,WEEKDAY,16,TRAIN,TE18,12549,8550
2025-04,WEEKENDS/HOLIDAY,10,TRAIN,SE3,1948,624
2025-04,WEEKDAY,15,TRAIN,CC24,33882,17947
2025-04,WEEKENDS/HOLIDAY,13,TRAIN,DT4,1143,1051
2025-04,WEEKDAY,5,TRAIN,NS13,27570,4438
2025-04,WEEKDAY,12,TRAIN,NE16/STC,41566,38300
2025-04,WEEKDAY,12,TRAIN,CC6,8751,10657
2025-04,WEEKENDS/HOLIDAY,5,TRAIN,EW24/NS1,2311,389
2025-04,WEEKENDS/HOLIDAY,19,TRAIN,CC20,2346,2885
2025-04,WEEKENDS/HOLIDAY,9,TRAIN,TE3,4839,2640
2025-04,WEEKENDS/HOLIDAY,8,TRAIN,PE2,3298,846
2025-04,WEEKDAY,13,TRAIN,NE16/STC,42931,42716
2025-04,WEEKENDS/HOLIDAY,20,TRAIN,EW18,4534,7336
2025-04,WEEKENDS/HOLIDAY,7,TRAIN,EW25,5623,3798
2025-04,WEEKDAY,14,TRAIN,PE1,4051,3703
2025-04,WEEKENDS/HOLIDAY,9,TRAIN,PE5,3826,1162
2025-04,WEEKENDS/HOLIDAY,8,TRAIN,NS2,12125,9438
2025-04,WEEKDAY,20,TRAIN,CC23,21462,2629
2025-04,WEEKENDS/HOLIDAY,17,TRAIN,TE22,3546,6908
2025-04,WEEKDAY,15,TRAIN,PE7,2983,5205
2025-04,WEEKDAY,22,TRAIN,NS9/TE2,25979,61646
2025-04,WEEKENDS/HOLIDAY,19,TRAIN,EW4,5577,8657
2025-04,WEEKENDS/HOLIDAY,8,TRAIN,TE5,2734,1528
2025-04,WEEKDAY,17,TRAIN,NS18,24012,22877
2025-04,WEEKENDS/HOLIDAY,7,TRAIN,CC27,318,1262
2025-04,WEEKDAY,7,TRAIN,EW17,53998,26359
2025-04,WEEKDAY,7,TRAIN,TE4,10417,16274
2025-04,WEEKENDS/HOLIDAY,7,TRAIN,CC11,4055,6465
2025-04,WEEKDAY,18,TRAIN,EW14/NS26,368910,47455
2025-04,WEEKENDS/HOLIDAY,22,TRAIN,PE6,988,1996
2025-04,WEEKENDS/HOLIDAY,12,TRAIN,PW7,1851,1549
2025-04,WEEKENDS/HOLIDAY,11,TRAIN,CG1/DT35,3190,9428
2025-04,WEEKENDS/HOLIDAY,23,TRAIN,EW28,1079,7372
2025-04,WEEKDAY,18,TRAIN,NS8,32824,59526
2025-04,WEEKENDS/HOLIDAY,23,TRAIN,TE28,231,659
2025-04,WEEKDAY,9,TRAIN,BP11,5839,1714
2025-04,WEEKDAY,19,TRAIN,SE5,2411,6211
2025-04,WEEKDAY,18,TRAIN,NS23,75777,85371
2025-04,WEEKDAY,0,TRAIN,CC23,51,186
2025-04,WEEKENDS/HOLIDAY,14,TRAIN,CG1/DT35,8415,9108
2025-04,WEEKDAY,0,TRAIN,CC8,96,473
2025-04,WEEKENDS/HOLIDAY,9,TRAIN,TE27,3355,1472
2025-04,WEEKDAY,19,TRAIN,NS9/TE2,61491,157558
2025-04,WEEKENDS/HOLIDAY,19,TRAIN,NE11,6985,7793
2025-04,WEEKDAY,20,TRAIN,CE1/DT16,78153,28266
2025-04,WEEKENDS/HOLIDAY,12,TRAIN,CC25,3848,2163
2025-04,WEEKENDS/HOLIDAY,5,TRAIN,DT3,132,6
2025-04,WEEKENDS/HOLIDAY,15,TRAIN,PE7,1648,2357
2025-04,WEEKENDS/HOLIDAY,17,TRAIN,BP6/DT1,18159,22730
2025-04,WEEKDAY,8,TRAIN,TE23,7680,1988
2025-04,WEEKENDS/HOLIDAY,17,TRAIN,EW20,6570,5575
2025-04,WEEKDAY,21,TRAIN,TE11,2301,4311
2025-04,WEEKDAY,18,TRAIN,DT2,9164,6512
2025-04,WEEKDAY,22,TRAIN,NS3,6675,18699
2025-04,WEEKENDS/HOLIDAY,20,TRAIN,TE14/NS22,46049,15720
2025-04,WEEKENDS/HOLIDAY,20,TRAIN,NE13,6962,10157
2025-04,WEEKENDS/HOLIDAY,12,TRAIN,BP12,1873,970
2025-04,WEEKDAY,13,TRAIN,DT3,5834,4884
2025-04,WEEKENDS/HOLIDAY,18,TRAIN,EW31,2569,2053
2025-04,WEEKDAY,20,TRAIN,EW9,17066,37027
2025-04,WEEKDAY,17,TRAIN,SE3,2789,5617
2025-04,WEEKENDS/HOLIDAY,8,TRAIN,EW15,2627,9170
2025-04,WEEKENDS/HOLIDAY,15,TRAIN,TE24,1159,1479
2025-04,WEEKENDS/HOLIDAY,23,TRAIN,SW6,148,888
2025-04,WEEKDAY,0,TRAIN,PW3,8,152
2025-04,WEEKENDS/HOLIDAY,20,TRAIN,EW10,5038,7259
2025-04,WEEKENDS/HOLIDAY,13,TRAIN,NS23,16484,27111
2025-04,WEEKENDS/HOLIDAY,17,TRAIN,NS28,3683,1527
2025-04,WEEKDAY,21,TRAIN,NS20,44530,12017
2025-04,WEEKENDS/HOLIDAY,19,TRAIN,EW14/NS26,10258,8889
2025-04,WEEKDAY,7,TRAIN,TE28,9982,5600
2025-04,WEEKDAY,18,TRAIN,BP6/DT1,67113,148638
2025-04,WEEKENDS/HOLIDAY,7,TRAIN,PE7,1418,289
2025-04,WEEKENDS/HOLIDAY,21,TRAIN,NS21/DT11,19713,22295
2025-04,WEEKENDS/HOLIDAY,15,TRAIN,BP13,567,587
2025-04,WEEKDAY,21,TRAIN,CC6,15072,2101
2025-04,WEEKDAY,19,TRAIN,TE26,16320,19177
2025-04,WEEKDAY,18,TRAIN,TE5,11659,16637
2025-04,WEEKDAY,21,TRAIN,NE13,17638,26514
2025-04,WEEKDAY,17,TRAIN,TE5,7792,9380
2025-04,WEEKDAY,0,TRAIN,NE9,172,768
2025-04,WEEKENDS/HOLIDAY,18,TRAIN,CC3,8517,5132
2025-04,WEEKENDS/HOLIDAY,5,TRAIN,TE24,23,2
2025-04,WEEKENDS/HOLIDAY,0,TRAIN,TE12,5,38
2025-04,WEEKDAY,13,TRAIN,SW2,6312,5250
2025-04,WEEKDAY,21,TRAIN,CC3,15576,2363
2025-04,WEEKDAY,17,TRAIN,PE7,4740,7712
2025-04,WEEKENDS/HOLIDAY,6,TRAIN,NS21/DT11,6095,6731
2025-04,WEEKENDS/HOLIDAY,7,TRAIN,CC8,2392,2254
2025-04,WEEKENDS/HOLIDAY,19,TRAIN,NE18,6154,5039
2025-04,WEEKDAY,18,TRAIN,CC27,65205,4065
2025-04,WEEKDAY,21,TRAIN,DT23,3986,3746
2025-04,WEEKDAY,14,TRAIN,NE13,21216,22336
2025-04,WEEKENDS/HOLIDAY,6,TRAIN,NS7,15637,7981
2025-04,WEEKDAY,22,TRAIN,SE3,597,4137
2025-04,WEEKENDS/HOLIDAY,10,TRAIN,NS9/TE2,23923,22419
2025-04,WEEKDAY,8,TRAIN,DT7,9249,16534
2025-04,WEEKENDS/HOLIDAY,16,TRAIN,NE7/DT12,19088,20484
2025-04,WEEKDAY,9,TRAIN,SW2,5713,3484
2025-04,WEEKDAY,11,TRAIN,EW31,1753,909
2025-04,WEEKENDS/HOLIDAY,10,TRAIN,DT28,5408,1975
2025-04,WEEKDAY,16,TRAIN,TE19,16034,3647
2025-04,WEEKDAY,18,TRAIN,PW6,2037,5225
2025-04,WEEKDAY,17,TRAIN,TE12,15903,4113
2025-04,WEEKDAY,14,TRAIN,TE26,12283,14377
2025-04,WEEKENDS/HOLIDAY,15,TRAIN,NE7/DT12,18028,17921
2025-04,WEEKDAY,20,TRAIN,DT10,2407,3440
2025-04,WEEKDAY,8,TRAIN,EW31,3313,22232
2025-04,WEEKDAY,21,TRAIN,NS7,20485,40540
2025-04,WEEKENDS/HOLIDAY,7,TRAIN,CC16,1945,3026
2025-04,WEEKENDS/HOLIDAY,12,TRAIN,EW27,23696,20581
2025-04,WEEKENDS/HOLIDAY,16,TRAIN,EW22,2601,2637
2025-04,WEEKDAY,13,TRAIN,EW1,23924,21272
2025-04,WEEKDAY,6,TRAIN,DT21,1304,2715
2025-04,WEEKENDS/HOLIDAY,12,TRAIN,PE5,3460,2220
2025-04,WEEKENDS/HOLIDAY,0,TRAIN,NE4/DT19,153,419
2025-04,WEEKENDS/HOLIDAY,11,TRAIN,BP9,2157,1169
2025-04,WEEKENDS/HOLIDAY,11,TRAIN,DT33,8587,3139
2025-04,WEEKDAY,10,TRAIN,PE5,6041,1913
2025-04,WEEKDAY,9,TRAIN,DT8,5329,3288
2025-04,WEEKDAY,12,TRAIN,EW1,25638,17334
2025-04,WEEKDAY,23,TRAIN,TE16,2261,3544
2025-04,WEEKENDS/HOLIDAY,10,TRAIN,CC5,1221,2279
2025-04,WEEKENDS/HOLIDAY,8,TRAIN,DT13,2531,4616
2025-04,WEEKENDS/HOLIDAY,11,TRAIN,PE5,3580,1746
2025-04,WEEKDAY,22,TRAIN,PW5,570,3529
2025-04,WEEKENDS/HOLIDAY,10,TRAIN,TE19,1160,1705
2025-04,WEEKENDS/HOLIDAY,14,TRAIN,DT3,3214,2718
2025-04,WEEKDAY,7,TRAIN,EW2/DT32,135824,62494
2025-04,WEEKENDS/HOLIDAY,16,TRAIN,EW28,11945,10450
2025-04,WEEKENDS/HOLIDAY,8,TRAIN,CC28,1936,1104
2025-04,WEEKENDS/HOLIDAY,9,TRAIN,PE4,825,419
2025-04,WEEKENDS/HOLIDAY,8,TRAIN,NS15,7061,5109
2025-04,WEEKENDS/HOLIDAY,15,TRAIN,DT6,2890,2627
2025-04,WEEKDAY,13,TRAIN,EW5,29666,26372
2025-04,WEEKENDS/HOLIDAY,7,TRAIN,EW11,4963,3803
2025-04,WEEKDAY,18,TRAIN,EW1,40289,103703
2025-04,WEEKDAY,23,TRAIN,NS25/EW13,22970,2610
2025-04,WEEKDAY,5,TRAIN,TE24,183,3
2025-04,WEEKENDS/HOLIDAY,10,TRAIN,NS16,21499,13976
2025-04,WEEKDAY,22,TRAIN,TE8,6838,6598
2025-04,WEEKENDS/HOLIDAY,7,TRAIN,BP3,1997,488
2025-04,WEEKENDS/HOLIDAY,19,TRAIN,CC23,2159,1385
2025-04,WEEKENDS/HOLIDAY,20,TRAIN,EW5,11412,16407
2025-04,WEEKDAY,19,TRAIN,NS16,50463,102772
2025-04,WEEKDAY,16,TRAIN,BP9,2037,2957
2025-04,WEEKENDS/HOLIDAY,12,TRAIN,SW6,2305,1282
2025-04,WEEKENDS/HOLIDAY,15,TRAIN,CE1/DT16,25356,24304
2025-04,WEEKENDS/HOLIDAY,8,TRAIN,DT25,1837,2191
2025-04,WEEKENDS/HOLIDAY,19,TRAIN,NS28,1924,551
2025-04,WEEKDAY,16,TRAIN,EW19,16969,18861
2025-04,WEEKDAY,11,TRAIN,CC27,5035,4733
2025-04,WEEKENDS/HOLIDAY,20,TRAIN,DT10,885,1176
2025-04,WEEKENDS/HOLIDAY,14,TRAIN,NS14,13719,11970
2025-04,WEEKENDS/HOLIDAY,11,TRAIN,TE24,1982,1120
2025-04,WEEKDAY,5,TRAIN,PW3,975,86
2025-04,WEEKENDS/HOLIDAY,21,TRAIN,TE26,5788,2746
2025-04,WEEKENDS/HOLIDAY,17,TRAIN,NS21/DT11,31335,32604
2025-04,WEEKENDS/HOLIDAY,20,TRAIN,EW4,3620,7890
2025-04,WEEKDAY,13,TRAIN,NS23,40131,35818
2025-04,WEEKDAY,0,TRAIN,NS5,513,4936
2025-04,WEEKDAY,21,TRAIN,TE29,670,3990
2025-04,WEEKENDS/HOLIDAY,0,TRAIN,NS23,209,112
2025-04,WEEKENDS/HOLIDAY,18,TRAIN,EW23,25303,28422
2025-04,WEEKDAY,9,TRAIN,DT2,4060,4120
2025-04,WEEKDAY,7,TRAIN,CC26,7331,21929
2025-04,WEEKENDS/HOLIDAY,8,TRAIN,TE4,1975,2717
2025-04,WEEKENDS/HOLIDAY,22,TRAIN,BP5,268,404
2025-04,WEEKENDS/HOLIDAY,11,TRAIN,NS28,863,3231
2025-04,WEEKENDS/HOLIDAY,8,TRAIN,DT8,1727,1897
2025-04,WEEKENDS/HOLIDAY,8,TRAIN,BP8,662,905
2025-04,WEEKENDS/HOLIDAY,22,TRAIN,DT21,3008,2451
2025-04,WEEKENDS/HOLIDAY,22,TRAIN,DT2,348,614
2025-04,WEEKDAY,6,TRAIN,CC12,8251,8704
2025-04,WEEKDAY,22,TRAIN,EW14/NS26,39395,5504
2025-04,WEEKENDS/HOLIDAY,17,TRAIN,EW11,10659,10075
2025-04,WEEKDAY,19,TRAIN,NS14,30662,81854
2025-04,WEEKDAY,5,TRAIN,NE8,1275,70
2025-04,WEEKDAY,13,TRAIN,NS9/TE2,48187,51079
2025-04,WEEKENDS/HOLIDAY,10,TRAIN,NE8,10593,18131
2025-04,WEEKENDS/HOLIDAY,14,TRAIN,TE19,1936,1727
2025-04,WEEKENDS/HOLIDAY,21,TRAIN,EW21/CC22,6595,5394
2025-04,WEEKDAY,23,TRAIN,EW28,3084,13798
2025-04,WEEKDAY,18,TRAIN,DT17,140918,11864
2025-04,WEEKENDS/HOLIDAY,13,TRAIN,TE13,2015,2009
2025-04,WEEKENDS/HOLIDAY,13,TRAIN,TE22,1959,3715
2025-04,WEEKDAY,21,TRAIN,TE19,9704,1539
2025-04,WEEKDAY,10,TRAIN,NE16/STC,42012,23980
2025-04,WEEKENDS/HOLIDAY,17,TRAIN,EW2/DT32,29857,34383
2025-04,WEEKENDS/HOLIDAY,13,TRAIN,NE18,5006,5789
2025-04,WEEKDAY,23,TRAIN,TE27,454,2812
2025-04,WEEKDAY,5,TRAIN,PE4,699,148
2025-04,WEEKENDS/HOLIDAY,13,TRAIN,CC2,2689,3646
2025-04,WEEKENDS/HOLIDAY,17,TRAIN,BP8,918,951
2025-04,WEEKDAY,12,TRAIN,NS27/CE2/TE20,6217,5096
2025-04,WEEKDAY,23,TRAIN,DT6,552,2084
2025-04,WEEKENDS/HOLIDAY,21,TRAIN,DT24,969,2637
2025-04,WEEKENDS/HOLIDAY,16,TRAIN,EW3,7939,8975
2025-04,WEEKDAY,10,TRAIN,BP9,3259,2015
2025-04,WEEKENDS/HOLIDAY,5,TRAIN,DT28,452,19
2025-04,WEEKENDS/HOLIDAY,23,TRAIN,EW29,311,1141
2025-04,WEEKENDS/HOLIDAY,17,TRAIN,CC11,9973,6415
2025-04,WEEKENDS/HOLIDAY,9,TRAIN,TE22,527,2930
2025-04,WEEKENDS/HOLIDAY,20,TRAIN,NS14,7394,16519
2025-04,WEEKDAY,0,TRAIN,EW33,0,259
